Response_ID,Customer_Name,Age,Country,Overall_Satisfaction,Recommendation_Score,Music_Variety,Podcast_Availability,Pricing,App_Performance,Device_Used,Usage_Frequency,Wants_Customization,Additional_Feedback
1,Steven Sloan,45,Malta,3,3,2,4,Fair,3,Mobile,Daily,Yes,
2,Beth Anderson,39,Saint Martin,3,5,2,4,Fair,1,Desktop,Daily,No,
3,Dr. David Rodriguez,43,Bahrain,4,2,3,1,Fair,5,Smart Speaker,Weekly,No,Month exactly run pick fight next political small.
4,Ryan Hutchinson,21,Guyana,1,1,4,1,Fair,2,Mobile,Daily,No,
5,Crystal Jackson,44,Australia,5,2,4,3,Fair,2,Mobile,Daily,Yes,
6,Christopher Thompson,23,Senegal,5,0,5,3,Fair,4,Mobile,Daily,No,
7,Jennifer Daniel MD,52,Tokelau,3,8,3,3,Fair,3,Mobile,Weekly,Yes,Have media behind nature after.
8,Dr. Ashley Tyler,46,Italy,3,9,1,1,Too Expensive,2,Mobile,Daily,No,
9,Eric Morgan,58,Haiti,1,1,1,1,Fair,4,Mobile,Daily,Yes,
10,Amanda Long DVM,49,Somalia,2,1,4,1,Too Expensive,5,Mobile,Monthly,Yes,Without enter chance number.
11,Robert Marshall,42,Uzbekistan,3,10,3,2,Too Expensive,3,Smart Speaker,Daily,Yes,
12,Allison Ryan DDS,18,French Southern Territories,5,6,2,1,Fair,1,Mobile,Rarely,Yes,
13,Brittany Thomas,52,Romania,2,6,5,2,Cheap,1,Mobile,Daily,Yes,Energy produce especially central maintain anyone beyond personal.
14,Mark Henry,34,Bhutan,2,0,5,5,Fair,4,Desktop,Daily,Yes,People citizen image various indeed.
15,Beverly Brooks,43,Tokelau,3,3,4,4,Too Expensive,1,Mobile,Daily,No,
16,Cindy Brown,38,Estonia,2,3,2,1,Fair,3,Smart Speaker,Daily,No,West before maybe move.
17,Joseph Miller,27,Albania,3,3,5,5,Fair,4,Other,Daily,No,
18,Timothy Whitney,47,Bulgaria,4,8,5,3,Fair,2,Mobile,Daily,Yes,
19,Steven Vega,32,Palau,2,4,3,1,Too Expensive,2,Mobile,Daily,Yes,Staff second too common probably.
20,Julie Taylor,49,Cote d'Ivoire,3,9,3,4,Cheap,4,Desktop,Daily,No,
21,Connor Marshall,18,Guinea,3,10,4,2,Fair,3,Desktop,Daily,Yes,Forget hair right despite team sound.
22,Megan Scott,59,Saint Martin,4,1,5,3,Cheap,5,Mobile,Weekly,Yes,
23,Dennis Stuart,27,Indonesia,2,3,4,4,Cheap,2,Desktop,Weekly,Yes,
24,Tammy Hardy,57,Barbados,4,10,3,5,Fair,3,Smart Speaker,Weekly,No,Respond something professional arrive reality everyone production.
25,Jamie Conley,24,Portugal,1,5,5,3,Fair,4,Mobile,Weekly,No,
26,Robert Williams,55,Solomon Islands,3,10,5,1,Too Expensive,3,Mobile,Rarely,Yes,Audience check responsibility occur.
27,Betty Miller,35,Reunion,5,8,2,4,Cheap,4,Mobile,Daily,No,Eight message rate environment system.
28,Denise Strong,56,Norfolk Island,3,9,5,3,Fair,3,Other,Daily,Yes,Indeed enjoy attention third.
29,Marisa Trevino,39,Jersey,2,2,5,5,Fair,3,Mobile,Monthly,No,
30,Jasmine Carpenter,29,Saint Kitts and Nevis,4,0,3,3,Too Expensive,3,Desktop,Daily,Yes,His avoid industry hard hour.
31,Bryan Lee,33,Slovenia,1,5,2,3,Too Expensive,1,Other,Weekly,No,
32,Wendy Green,21,Lithuania,5,10,1,2,Too Expensive,2,Mobile,Daily,Yes,
33,Kelly White,34,Armenia,3,1,5,4,Too Expensive,2,Desktop,Weekly,Yes,
34,Christopher Huang,34,Saint Barthelemy,5,3,5,1,Cheap,2,Mobile,Daily,No,
35,Dustin Mayo,31,Vanuatu,4,9,3,5,Fair,1,Mobile,Daily,Yes,
36,Kim George,21,Vanuatu,2,3,3,5,Too Expensive,5,Mobile,Daily,No,
37,Daniel Wright,40,Kiribati,4,5,1,2,Fair,2,Desktop,Daily,Yes,Dream expert hear.
38,Ian Obrien,27,Holy See (Vatican City State),4,3,5,4,Fair,3,Mobile,Daily,Yes,
39,Christopher Case,35,Holy See (Vatican City State),3,4,3,5,Fair,1,Other,Daily,No,
40,Patricia Velasquez,25,Serbia,4,4,1,1,Too Expensive,3,Mobile,Daily,No,
41,Jose Holloway,56,Estonia,4,0,3,4,Too Expensive,2,Mobile,Daily,Yes,
42,Julia Miller,24,Azerbaijan,5,0,3,2,Fair,1,Mobile,Weekly,Yes,
43,Glenn Brock,36,Luxembourg,4,5,5,2,Too Expensive,4,Mobile,Daily,Yes,
44,Carol Martinez,50,Kuwait,2,0,1,3,Too Expensive,4,Other,Daily,Yes,
45,Jason Berry,28,Andorra,1,1,5,3,Fair,5,Desktop,Daily,Yes,Those the skill letter check bank.
46,Melissa Love,18,Uganda,1,10,4,2,Cheap,4,Mobile,Rarely,No,
47,Kim Miller,21,Hong Kong,1,3,5,2,Cheap,1,Mobile,Rarely,No,National relationship prevent throughout pick customer.
48,Beverly Mejia,31,Hungary,2,3,4,3,Fair,2,Mobile,Weekly,Yes,
49,Richard Morgan,58,Guadeloupe,2,0,2,1,Fair,4,Mobile,Weekly,Yes,
50,Jessica Smith,43,Fiji,3,0,5,4,Too Expensive,1,Mobile,Daily,Yes,
51,David Nichols,54,French Guiana,2,10,4,5,Cheap,3,Mobile,Daily,Yes,
52,Kenneth Garrison,29,Eritrea,1,10,1,1,Too Expensive,1,Mobile,Daily,Yes,
53,Anne Lowe,30,Ethiopia,5,2,2,5,Fair,2,Mobile,Weekly,Yes,
54,Jeffrey Vega,24,Canada,5,6,3,5,Fair,4,Mobile,Daily,Yes,
55,Jennifer Hodge,35,Gabon,5,9,2,3,Fair,3,Mobile,Weekly,Yes,
56,Sharon Miller,31,Kuwait,4,9,3,5,Cheap,3,Mobile,Daily,Yes,
57,Mike Robinson,27,San Marino,3,3,3,2,Fair,2,Other,Daily,Yes,
58,Emily Nguyen,54,Trinidad and Tobago,3,6,5,2,Fair,4,Mobile,Daily,No,
59,Troy Ashley,55,North Macedonia,3,6,5,4,Fair,2,Mobile,Daily,Yes,Ability dream develop hit memory interesting able.
60,Alfred Carter,57,Turkey,1,2,2,4,Fair,4,Mobile,Weekly,No,
61,Patrick Smith,24,Slovenia,1,9,4,2,Fair,3,Desktop,Daily,Yes,
62,Bryan Mills,48,Nepal,5,1,5,1,Fair,2,Mobile,Weekly,No,
63,Tara Rangel,53,Saudi Arabia,3,0,3,3,Fair,3,Mobile,Daily,No,
64,Annette Williams,33,Djibouti,3,5,4,3,Fair,5,Mobile,Weekly,No,Than tough tree fund ahead space.
65,Amy Horn,51,Saint Vincent and the Grenadines,2,9,5,4,Fair,4,Mobile,Daily,Yes,
66,Mr. Michael Berger,20,Liberia,3,8,2,3,Fair,4,Mobile,Daily,Yes,
67,Tonya Price,59,Turkmenistan,1,5,4,2,Too Expensive,3,Mobile,Daily,Yes,
68,Shannon Davies,27,Belgium,5,0,4,4,Fair,5,Smart Speaker,Daily,Yes,Fast perhaps large itself current television.
69,Jenna Price,32,Samoa,1,9,1,2,Fair,3,Mobile,Daily,Yes,
70,Kristin Maxwell,28,Northern Mariana Islands,5,3,5,5,Too Expensive,3,Mobile,Daily,Yes,
71,Megan Meyer,42,Morocco,5,2,3,5,Fair,3,Mobile,Daily,Yes,
72,Kimberly White,44,Peru,2,7,5,3,Cheap,4,Desktop,Daily,No,Leg human understand reveal national scientist.
73,Jeffery Hanna,43,Mozambique,2,2,2,3,Too Expensive,3,Desktop,Daily,Yes,
74,Stephen Moore,49,Turks and Caicos Islands,1,2,2,3,Too Expensive,3,Mobile,Daily,No,
75,Michele Townsend,44,Peru,4,10,2,5,Fair,2,Mobile,Daily,Yes,
76,Tara Odom,55,Turks and Caicos Islands,3,3,4,4,Cheap,3,Mobile,Daily,Yes,
77,Brandi Hopkins,19,Albania,1,7,1,1,Too Expensive,5,Mobile,Daily,Yes,
78,Nicole Daugherty,48,Nauru,5,6,5,4,Cheap,3,Mobile,Daily,Yes,Without official mind price.
79,Paul Roberts,26,United Kingdom,5,1,5,4,Cheap,1,Mobile,Daily,Yes,
80,Corey Gomez,52,Jersey,5,1,5,1,Fair,3,Desktop,Weekly,Yes,
81,Amy Berry,30,Namibia,5,6,5,1,Fair,2,Mobile,Daily,Yes,West policy trial drop late plan.
82,Samantha Boyd,18,Kiribati,5,0,4,1,Too Expensive,3,Smart Speaker,Daily,No,
83,Jordan Wilson,21,Yemen,2,9,4,1,Fair,2,Mobile,Daily,Yes,Wear analysis everybody Democrat.
84,Joel Hill,39,Turkmenistan,2,7,2,4,Fair,5,Mobile,Daily,Yes,
85,Christopher Johnson,18,Belarus,1,9,5,3,Fair,1,Desktop,Daily,Yes,
86,Michael Lee,30,Seychelles,1,5,4,4,Fair,3,Other,Weekly,No,Rest blue lose agreement.
87,Kevin Ramsey,20,New Caledonia,1,6,5,2,Fair,1,Mobile,Daily,Yes,
